epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
74,975.626,0.319,0.43335,0.91792,0.91177,0.91,0.94058,0.89244,0.32362,0.46232,0.95144,0.000163052,0.000163052,0.000163052
75,988.211,0.31867,0.42982,0.91332,0.9221,0.9325,0.94956,0.89861,0.32762,0.44749,0.95908,0.000157231,0.000157231,0.000157231
76,1000.93,0.31475,0.43248,0.91052,0.94206,0.9161,0.9508,0.89385,0.34228,0.45877,0.97292,0.00015141,0.00015141,0.00015141
77,1013.85,0.32213,0.43926,0.91497,0.92881,0.92416,0.94954,0.90416,0.32102,0.46913,0.94991,0.000145589,0.000145589,0.000145589
78,1026.42,0.31172,0.42746,0.91399,0.93252,0.93079,0.95043,0.89972,0.33639,0.43203,0.97579,0.000139768,0.000139768,0.000139768
79,1039.16,0.32427,0.42505,0.92583,0.92104,0.9259,0.94364,0.89631,0.31556,0.45298,0.95186,0.000133946,0.000133946,0.000133946
80,1051.78,0.31086,0.40819,0.91036,0.90739,0.93896,0.94319,0.89611,0.32254,0.42565,0.95746,0.000128125,0.000128125,0.000128125
81,1064.31,0.30421,0.39423,0.91223,0.91558,0.92124,0.93804,0.8854,0.38064,0.46033,1.04718,0.000122304,0.000122304,0.000122304
82,1077.09,0.31009,0.4034,0.91929,0.92689,0.92476,0.9401,0.89278,0.32007,0.45094,0.95809,0.000116483,0.000116483,0.000116483
83,1089.7,0.30606,0.39009,0.91607,0.92398,0.91232,0.93304,0.88936,0.32508,0.44746,0.96707,0.000110662,0.000110662,0.000110662
84,1102.46,0.29427,0.39254,0.89992,0.93849,0.9162,0.94821,0.90345,0.31942,0.42469,0.96575,0.00010484,0.00010484,0.00010484
85,1115.2,0.30643,0.39625,0.90966,0.93305,0.92655,0.94419,0.90284,0.31574,0.43059,0.94789,9.90192e-05,9.90192e-05,9.90192e-05
